issuer_name,deal_short_name,as_of_date,metric_type,stat_type,stat_value
Carvana,CRVNA 2023-P2,07/11/2025,30+DQ,min,0.0295845
Carvana,CRVNA 2023-P2,07/11/2025,30+DQ,avg,0.04232771666666666
Carvana,CRVNA 2023-P2,07/11/2025,60+DQ,max,0.024023
Carvana,CRVNA 2023-P2,07/11/2025,60+DQ,min,0.0106745
Carvana,CRVNA 2023-P2,07/11/2025,60+DQ,avg,0.017930441666666668
Carvana,CRVNA 2023-P2,07/11/2025,90+DQ,max,0.0048452
Carvana,CRVNA 2023-P2,07/11/2025,90+DQ,min,0.0028069
Carvana,CRVNA 2023-P2,07/11/2025,90+DQ,avg,0.003919816666666667
Carvana,CRVNA 2023-P2,07/11/2025,Extensions,max,0.013230500000000001
Carvana,CRVNA 2023-P2,07/11/2025,Extensions,min,0.0040616
Carvana,CRVNA 2023-P2,07/11/2025,Extensions,avg,0.0086102
Carvana,CRVNA 2023-P3,07/11/2025,30+DQ,max,0.0453115
Carvana,CRVNA 2023-P3,07/11/2025,30+DQ,min,0.0235309
Carvana,CRVNA 2023-P3,07/11/2025,30+DQ,avg,0.0366224
Carvana,CRVNA 2023-P3,07/11/2025,60+DQ,max,0.0203025
Carvana,CRVNA 2023-P3,07/11/2025,60+DQ,min,0.0075266
Carvana,CRVNA 2023-P3,07/11/2025,60+DQ,avg,0.015197316666666669
Carvana,CRVNA 2023-P3,07/11/2025,90+DQ,max,0.0050433
Carvana,CRVNA 2023-P3,07/11/2025,90+DQ,min,0.0022526
Carvana,CRVNA 2023-P3,07/11/2025,90+DQ,avg,0.0034989916666666667
Carvana,CRVNA 2023-P3,07/11/2025,Extensions,max,0.0108396
Carvana,CRVNA 2023-P3,07/11/2025,Extensions,min,0.0046304
Carvana,CRVNA 2023-P3,07/11/2025,Extensions,avg,0.008436475
Carvana,CRVNA 2023-P4,07/11/2025,30+DQ,max,0.0438299
Carvana,CRVNA 2023-P4,07/11/2025,30+DQ,min,0.0178874
Carvana,CRVNA 2023-P4,07/11/2025,30+DQ,avg,0.029578483333333332
Carvana,CRVNA 2023-P4,07/11/2025,60+DQ,max,0.0174712
Carvana,CRVNA 2023-P4,07/11/2025,60+DQ,min,0.0061648
Carvana,CRVNA 2023-P4,07/11/2025,60+DQ,avg,0.011103658333333334
Carvana,CRVNA 2023-P4,07/11/2025,90+DQ,max,0.0046663
Carvana,CRVNA 2023-P4,07/11/2025,90+DQ,min,0.0015622
Carvana,CRVNA 2023-P4,07/11/2025,90+DQ,avg,0.002925983333333333
Carvana,CRVNA 2023-P4,07/11/2025,Extensions,max,0.009913499999999999
Carvana,CRVNA 2023-P4,07/11/2025,Extensions,min,0.0042237
Carvana,CRVNA 2023-P4,07/11/2025,Extensions,avg,0.007320383333333333
Carvana,CRVNA 2023-P5,07/11/2025,30+DQ,max,0.0303792
Carvana,CRVNA 2023-P5,07/11/2025,30+DQ,min,0.0110256
Carvana,CRVNA 2023-P5,07/11/2025,30+DQ,avg,0.021099350000000003
Carvana,CRVNA 2023-P5,07/11/2025,60+DQ,max,0.0141491
Carvana,CRVNA 2023-P5,07/11/2025,60+DQ,min,0.0029818
Carvana,CRVNA 2023-P5,07/11/2025,60+DQ,avg,0.007740158333333334
Carvana,CRVNA 2023-P5,07/11/2025,90+DQ,max,0.0034032
Carvana,CRVNA 2023-P5,07/11/2025,90+DQ,min,0.0006862
Carvana,CRVNA 2023-P5,07/11/2025,90+DQ,avg,0.0020817333333333333
Carvana,CRVNA 2023-P5,07/11/2025,Extensions,max,0.0090013
Carvana,CRVNA 2023-P5,07/11/2025,Extensions,min,0.0
Carvana,CRVNA 2023-P5,07/11/2025,Extensions,avg,0.006097541666666667
Carvana,CRVNA 2024-P1,07/11/2025,30+DQ,max,0.0227138
Carvana,CRVNA 2024-P1,07/11/2025,30+DQ,min,0.0042004
Carvana,CRVNA 2024-P1,07/11/2025,30+DQ,avg,0.01332045
Carvana,CRVNA 2024-P1,07/11/2025,60+DQ,max,0.0092637
Carvana,CRVNA 2024-P1,07/11/2025,60+DQ,min,0.0009317
Carvana,CRVNA 2024-P1,07/11/2025,60+DQ,avg,0.004531791666666667
Carvana,CRVNA 2024-P1,07/11/2025,90+DQ,max,0.0023683
Carvana,CRVNA 2024-P1,07/11/2025,90+DQ,min,0.0002635
Carvana,CRVNA 2024-P1,07/11/2025,90+DQ,avg,0.001222125
Carvana,CRVNA 2024-P1,07/11/2025,Extensions,max,0.0087823
Carvana,CRVNA 2024-P1,07/11/2025,Extensions,min,6.13e-05
Carvana,CRVNA 2024-P1,07/11/2025,Extensions,avg,0.004652833333333333
Carvana,CRVNA 2024-P2,07/11/2025,30+DQ,max,0.0174739
Carvana,CRVNA 2024-P2,07/11/2025,30+DQ,min,0.0013543
Carvana,CRVNA 2024-P2,07/11/2025,30+DQ,avg,0.00966630909090909
Carvana,CRVNA 2024-P2,07/11/2025,60+DQ,max,0.0068533
Carvana,CRVNA 2024-P2,07/11/2025,60+DQ,min,0.0001654
Carvana,CRVNA 2024-P2,07/11/2025,60+DQ,avg,0.002892727272727273
Carvana,CRVNA 2024-P2,07/11/2025,90+DQ,max,0.0014802
Carvana,CRVNA 2024-P2,07/11/2025,90+DQ,min,0.0
Carvana,CRVNA 2024-P2,07/11/2025,90+DQ,avg,0.0007799363636363636
Carvana,CRVNA 2024-P2,07/11/2025,Extensions,max,0.0100949
Carvana,CRVNA 2024-P2,07/11/2025,Extensions,min,0.0
Carvana,CRVNA 2024-P2,07/11/2025,Extensions,avg,0.003365090909090909
